Experiment ID                :  tsp
Problem Type                 :  TSPMatrix
Data Input File Name         :  berlin52.tsp
Number of Runs               :  5
Generations per Run          :  200
Population Size              :  1000
Selection Method             :  1
Fitness Scaling Type         :  0
Min or Max Fitness           :  min
Crossover Type               :  3
Crossover Rate               :  1.0
Mutation Type                :  1
Mutation Rate                :  0.01
Random Number Seed           :  75982
Number of Genes/Points       :  52
Size of Genes                :  100



 R   0		 G   0		 BestInG    8060.314		 AvgOfG    9761.668		 StDv     792.429		 95% ConfInt    9711.551   9811.786
 R   4		 G   6		 BestInG    8182.192		 AvgOfG 7909054.448		 StDv 7908075.146		 95% ConfInt 7408903.8618409205.036
 R   4		 G   7		 BestInG    8182.192		 AvgOfG 7918880.897		 StDv 7917906.496		 95% ConfInt 7418108.5218419653.274
 R   4		 G   8		 BestInG    8182.192		 AvgOfG 7928707.346		 StDv 7927737.846		 95% ConfInt 7427313.1818430101.512
 R   4		 G   9		 BestInG    8182.192		 AvgOfG 7938533.795		 StDv 7937569.197		 95% ConfInt  7436517.84 8440549.75
 R   4		 G  10		 BestInG    8182.192		 AvgOfG 7948360.245		 StDv 7947400.547		 95% ConfInt   7445722.58450997.989
 R   4		 G  11		 BestInG    8182.192		 AvgOfG 7958186.694		 StDv 7957231.898		 95% ConfInt  7454927.168461446.227
 R   4		 G  12		 BestInG    8182.192		 AvgOfG 7968013.143		 StDv 7967063.248		 95% ConfInt  7464131.828471894.465
 R   4		 G  13		 BestInG    8182.192		 AvgOfG 7977839.592		 StDv 7976894.599		 95% ConfInt  7473336.488482342.703
 R   4		 G  14		 BestInG    8182.192		 AvgOfG 7987666.041		 StDv 7986725.949		 95% ConfInt  7482541.148492790.942
 R   4		 G  15		 BestInG    8182.192		 AvgOfG  7997492.49		 StDv   7996557.3		 95% ConfInt   7491745.8 8503239.18
 R   4		 G  16		 BestInG    8182.192		 AvgOfG 8007318.939		 StDv  8006388.65		 95% ConfInt  7500950.468513687.418
 R   4		 G  17		 BestInG    8182.192		 AvgOfG 8017145.388		 StDv 8016220.001		 95% ConfInt 7510155.1198524135.657
 R   4		 G  18		 BestInG    8182.192		 AvgOfG 8026971.837		 StDv 8026051.352		 95% ConfInt 7519359.7798534583.895
 R   4		 G  19		 BestInG    8182.192		 AvgOfG 8036798.286		 StDv 8035882.702		 95% ConfInt 7528564.4398545032.133
 R   4		 G  20		 BestInG    8182.192		 AvgOfG 8046624.735		 StDv 8045714.053		 95% ConfInt 7537769.0998555480.371
 R   4		 G  21		 BestInG    8182.192		 AvgOfG 8056451.184		 StDv 8055545.404		 95% ConfInt 7546973.759 8565928.61
 R   4		 G  22		 BestInG    8182.192		 AvgOfG 8066277.633		 StDv 8065376.755		 95% ConfInt 7556178.4198576376.848
 R   4		 G  23		 BestInG    8182.192		 AvgOfG 8076104.082		 StDv 8075208.106		 95% ConfInt 7565383.0798586825.086
 R   4		 G  24		 BestInG    8182.192		 AvgOfG 8085930.532		 StDv 8085039.457		 95% ConfInt 7574587.7388597273.325
 R   4		 G  25		 BestInG    8182.192		 AvgOfG 8095756.981		 StDv 8094870.808		 95% ConfInt 7583792.3988607721.563
 R   4		 G  26		 BestInG    8182.192		 AvgOfG  8105583.43		 StDv 8104702.159		 95% ConfInt 7592997.0588618169.801
 R   4		 G  27		 BestInG    8182.192		 AvgOfG 8115409.879		 StDv  8114533.51		 95% ConfInt 7602201.718 8628618.04
 R   4		 G  28		 BestInG    8182.192		 AvgOfG 8125236.328		 StDv 8124364.861		 95% ConfInt 7611406.3788639066.278
 R   4		 G  29		 BestInG    8182.192		 AvgOfG 8135062.777		 StDv 8134196.212		 95% ConfInt 7620611.0388649514.516
 R   4		 G  30		 BestInG    8182.192		 AvgOfG 8144889.226		 StDv 8144027.563		 95% ConfInt 7629815.6978659962.755
 R   4		 G  31		 BestInG    8182.192		 AvgOfG 8154715.675		 StDv 8153858.914		 95% ConfInt 7639020.3578670410.993
 R   4		 G  32		 BestInG    8182.192		 AvgOfG 8164542.124		 StDv 8163690.265		 95% ConfInt 7648225.0178680859.231
 R   4		 G  33		 BestInG    8182.192		 AvgOfG 8174368.573		 StDv 8173521.617		 95% ConfInt 7657429.6778691307.469
 R   4		 G  34		 BestInG    8182.192		 AvgOfG 8184195.022		 StDv 8183352.968		 95% ConfInt 7666634.3378701755.708
 R   4		 G  35		 BestInG    8182.192		 AvgOfG 8194021.471		 StDv 8193184.319		 95% ConfInt 7675838.9978712203.946
 R   4		 G  36		 BestInG    8182.192		 AvgOfG  8203847.92		 StDv 8203015.671		 95% ConfInt 7685043.6568722652.184
 R   4		 G  37		 BestInG    8182.192		 AvgOfG  8213674.37		 StDv 8212847.022		 95% ConfInt 7694248.3168733100.423
 R   4		 G  38		 BestInG    8182.192		 AvgOfG 8223500.819		 StDv 8222678.374		 95% ConfInt 7703452.9768743548.661
 R   4		 G  39		 BestInG    8182.192		 AvgOfG 8233327.268		 StDv 8232509.725		 95% ConfInt 7712657.6368753996.899
 R   4		 G  40		 BestInG    8182.192		 AvgOfG 8243153.717		 StDv 8242341.076		 95% ConfInt 7721862.2968764445.138
 R   4		 G  41		 BestInG    8182.192		 AvgOfG 8252980.166		 StDv 8252172.428		 95% ConfInt 7731066.9558774893.376
 R   4		 G  42		 BestInG    8182.192		 AvgOfG 8262806.615		 StDv  8262003.78		 95% ConfInt 7740271.6158785341.614
 R   4		 G  43		 BestInG    8182.192		 AvgOfG 8272633.064		 StDv 8271835.131		 95% ConfInt 7749476.2758795789.853
 R   4		 G  44		 BestInG    8182.192		 AvgOfG 8282459.513		 StDv 8281666.483		 95% ConfInt 7758680.9358806238.091
 R   4		 G  45		 BestInG    8182.192		 AvgOfG 8292285.962		 StDv 8291497.834		 95% ConfInt 7767885.595 8816686.33
 R   4		 G  46		 BestInG    8182.192		 AvgOfG 8302112.411		 StDv 8301329.186		 95% ConfInt 7777090.2548827134.568
 R   4		 G  47		 BestInG    8182.192		 AvgOfG  8311938.86		 StDv 8311160.538		 95% ConfInt 7786294.9148837582.806
 R   4		 G  48		 BestInG    8182.192		 AvgOfG 8321765.309		 StDv  8320991.89		 95% ConfInt 7795499.5748848031.045
 R   4		 G  49		 BestInG    8182.192		 AvgOfG 8331591.758		 StDv 8330823.241		 95% ConfInt 7804704.2348858479.283
 R   4		 G  50		 BestInG    8182.192		 AvgOfG 8341418.207		 StDv 8340654.593		 95% ConfInt 7813908.8948868927.521
 R   4		 G  51		 BestInG    8182.192		 AvgOfG 8351244.657		 StDv 8350485.945		 95% ConfInt 7823113.553 8879375.76
 R   4		 G  52		 BestInG    8182.192		 AvgOfG 8361071.106		 StDv 8360317.297		 95% ConfInt 7832318.2138889823.998
 R   4		 G  53		 BestInG    8182.192		 AvgOfG 8370897.555		 StDv 8370148.649		 95% ConfInt 7841522.8738900272.236
 R   4		 G  54		 BestInG    8182.192		 AvgOfG 8380724.004		 StDv 8379980.001		 95% ConfInt 7850727.5338910720.475
 R   4		 G  55		 BestInG    8182.192		 AvgOfG 8390550.453		 StDv 8389811.353		 95% ConfInt 7859932.1938921168.713
 R   4		 G  56		 BestInG    8182.192		 AvgOfG 8400376.902		 StDv 8399642.705		 95% ConfInt 7869136.8528931616.951
 R   4		 G  57		 BestInG    8182.192		 AvgOfG 8410203.351		 StDv 8409474.057		 95% ConfInt 7878341.512 8942065.19
 R   4		 G  58		 BestInG    8182.192		 AvgOfG   8420029.8		 StDv 8419305.409		 95% ConfInt 7887546.1728952513.428
 R   4		 G  59		 BestInG    8182.192		 AvgOfG 8429856.249		 StDv 8429136.761		 95% ConfInt 7896750.8328962961.667
 R   4		 G  60		 BestInG    8182.192		 AvgOfG 8439682.698		 StDv 8438968.114		 95% ConfInt 7905955.4918973409.905
 R   4		 G  61		 BestInG    8182.192		 AvgOfG 8449509.147		 StDv 8448799.466		 95% ConfInt 7915160.1518983858.143
 R   4		 G  62		 BestInG    8182.192		 AvgOfG 8459335.596		 StDv 8458630.818		 95% ConfInt 7924364.8118994306.382
 R   4		 G  63		 BestInG    8182.192		 AvgOfG 8469162.045		 StDv  8468462.17		 95% ConfInt 7933569.471 9004754.62
 R   4		 G  64		 BestInG    8182.192		 AvgOfG 8478988.494		 StDv 8478293.522		 95% ConfInt  7942774.139015202.859
 R   4		 G  65		 BestInG    8182.192		 AvgOfG 8488814.944		 StDv 8488124.875		 95% ConfInt  7951978.799025651.097
 R   4		 G  66		 BestInG    8182.192		 AvgOfG 8498641.393		 StDv 8497956.227		 95% ConfInt  7961183.459036099.335
 R   4		 G  67		 BestInG    8182.192		 AvgOfG 8508467.842		 StDv  8507787.58		 95% ConfInt  7970388.119046547.574
 R   4		 G  68		 BestInG    8182.192		 AvgOfG 8518294.291		 StDv 8517618.932		 95% ConfInt 7979592.7699056995.812
 R   4		 G  69		 BestInG    8182.192		 AvgOfG  8528120.74		 StDv 8527450.284		 95% ConfInt 7988797.4299067444.051
 R   4		 G  70		 BestInG    8182.192		 AvgOfG 8537947.189		 StDv 8537281.637		 95% ConfInt 7998002.0899077892.289
 R   4		 G  71		 BestInG    8182.192		 AvgOfG 8547773.638		 StDv 8547112.989		 95% ConfInt 8007206.7499088340.527
 R   4		 G  72		 BestInG    8182.192		 AvgOfG 8557600.087		 StDv 8556944.342		 95% ConfInt 8016411.4089098788.766
 R   4		 G  73		 BestInG    8182.192		 AvgOfG 8567426.536		 StDv 8566775.695		 95% ConfInt 8025616.0689109237.004
 R   4		 G  74		 BestInG    8182.192		 AvgOfG 8577252.985		 StDv 8576607.047		 95% ConfInt 8034820.7289119685.243
 R   4		 G  75		 BestInG    8182.192		 AvgOfG 8587079.434		 StDv   8586438.4		 95% ConfInt 8044025.3889130133.481
 R   4		 G  76		 BestInG    8182.192		 AvgOfG 8596905.883		 StDv 8596269.752		 95% ConfInt 8053230.0479140581.719
 R   4		 G  77		 BestInG    8182.192		 AvgOfG 8606732.332		 StDv 8606101.105		 95% ConfInt 8062434.7079151029.958
 R   4		 G  78		 BestInG    8182.192		 AvgOfG 8616558.782		 StDv 8615932.458		 95% ConfInt 8071639.3679161478.196
 R   4		 G  79		 BestInG    8182.192		 AvgOfG 8626385.231		 StDv 8625763.811		 95% ConfInt 8080844.0279171926.435
 R   4		 G  80		 BestInG    8182.192		 AvgOfG  8636211.68		 StDv 8635595.163		 95% ConfInt 8090048.6869182374.673
 R   4		 G  81		 BestInG    8182.192		 AvgOfG 8646038.129		 StDv 8645426.516		 95% ConfInt 8099253.3469192822.911
 R   4		 G  82		 BestInG    8182.192		 AvgOfG 8655864.578		 StDv 8655257.869		 95% ConfInt 8108458.006 9203271.15
 R   4		 G  83		 BestInG    8182.192		 AvgOfG 8665691.027		 StDv 8665089.222		 95% ConfInt 8117662.6659213719.388
 R   4		 G  84		 BestInG    8182.192		 AvgOfG 8675517.476		 StDv 8674920.575		 95% ConfInt 8126867.3259224167.627
 R   4		 G  85		 BestInG    8182.192		 AvgOfG 8685343.925		 StDv 8684751.928		 95% ConfInt 8136071.9859234615.865
 R   4		 G  86		 BestInG    8182.192		 AvgOfG 8695170.374		 StDv 8694583.281		 95% ConfInt 8145276.6459245064.104
 R   4		 G  87		 BestInG    8182.192		 AvgOfG 8704996.823		 StDv 8704414.634		 95% ConfInt 8154481.3049255512.342
 R   4		 G  88		 BestInG    8182.192		 AvgOfG 8714823.272		 StDv 8714245.987		 95% ConfInt 8163685.964 9265960.58
 R   4		 G  89		 BestInG    8182.192		 AvgOfG 8724649.721		 StDv  8724077.34		 95% ConfInt 8172890.6249276408.819
 R   4		 G  90		 BestInG    8182.192		 AvgOfG  8734476.17		 StDv 8733908.693		 95% ConfInt 8182095.2839286857.057
 R   4		 G  91		 BestInG    8182.192		 AvgOfG 8744302.619		 StDv 8743740.046		 95% ConfInt 8191299.9439297305.296
 R   4		 G  92		 BestInG    8182.192		 AvgOfG 8754129.069		 StDv 8753571.399		 95% ConfInt 8200504.6039307753.534
 R   4		 G  93		 BestInG    8182.192		 AvgOfG 8763955.518		 StDv 8763402.752		 95% ConfInt 8209709.2639318201.773
 R   4		 G  94		 BestInG    8182.192		 AvgOfG 8773781.967		 StDv 8773234.106		 95% ConfInt 8218913.9229328650.011
 R   4		 G  95		 BestInG    8182.192		 AvgOfG 8783608.416		 StDv 8783065.459		 95% ConfInt 8228118.582 9339098.25
 R   4		 G  96		 BestInG    8182.192		 AvgOfG 8793434.865		 StDv 8792896.812		 95% ConfInt 8237323.2429349546.488
 R   4		 G  97		 BestInG    8182.192		 AvgOfG 8803261.314		 StDv 8802728.165		 95% ConfInt 8246527.9019359994.726
 R   4		 G  98		 BestInG    8182.192		 AvgOfG 8813087.763		 StDv 8812559.519		 95% ConfInt 8255732.5619370442.965
 R   4		 G  99		 BestInG    8182.192		 AvgOfG 8822914.212		 StDv 8822390.872		 95% ConfInt 8264937.2219380891.203
 R   4		 G 100		 BestInG    8182.192		 AvgOfG 8832740.661		 StDv 8832222.225		 95% ConfInt  8274141.889391339.442
 R   4		 G 101		 BestInG    8182.192		 AvgOfG  8842567.11		 StDv 8842053.579		 95% ConfInt  8283346.54 9401787.68
 R   4		 G 102		 BestInG    8182.192		 AvgOfG 8852393.559		 StDv 8851884.932		 95% ConfInt   8292551.29412235.919
 R   4		 G 103		 BestInG    8182.192		 AvgOfG 8862220.008		 StDv 8861716.286		 95% ConfInt  8301755.869422684.157
 R   4		 G 104		 BestInG    8182.192		 AvgOfG 8872046.457		 StDv 8871547.639		 95% ConfInt 8310960.5199433132.396
 R   4		 G 105		 BestInG    8182.192		 AvgOfG 8881872.907		 StDv 8881378.993		 95% ConfInt 8320165.1799443580.634
 R   4		 G 106		 BestInG    8182.192		 AvgOfG 8891699.356		 StDv 8891210.346		 95% ConfInt 8329369.8399454028.873
 R   4		 G 107		 BestInG    8182.192		 AvgOfG 8901525.805		 StDv   8901041.7		 95% ConfInt 8338574.4989464477.111
 R   4		 G 108		 BestInG    8182.192		 AvgOfG 8911352.254		 StDv 8910873.053		 95% ConfInt 8347779.158 9474925.35
 R   4		 G 109		 BestInG    8182.192		 AvgOfG 8921178.703		 StDv 8920704.407		 95% ConfInt 8356983.8189485373.588
 R   4		 G 110		 BestInG    8182.192		 AvgOfG 8931005.152		 StDv 8930535.761		 95% ConfInt 8366188.4779495821.826
 R   4		 G 111		 BestInG    8182.192		 AvgOfG 8940831.601		 StDv 8940367.114		 95% ConfInt 8375393.1379506270.065
 R   4		 G 112		 BestInG    8182.192		 AvgOfG  8950658.05		 StDv 8950198.468		 95% ConfInt 8384597.7979516718.303
 R   4		 G 113		 BestInG    8182.192		 AvgOfG 8960484.499		 StDv 8960029.822		 95% ConfInt 8393802.4569527166.542
 R   4		 G 114		 BestInG    8182.192		 AvgOfG 8970310.948		 StDv 8969861.175		 95% ConfInt 8403007.116 9537614.78
 R   4		 G 115		 BestInG    8182.192		 AvgOfG 8980137.397		 StDv 8979692.529		 95% ConfInt 8412211.7769548063.019
 R   4		 G 116		 BestInG    8182.192		 AvgOfG 8989963.846		 StDv 8989523.883		 95% ConfInt 8421416.4359558511.257
 R   4		 G 117		 BestInG    8182.192		 AvgOfG 8999790.295		 StDv 8999355.237		 95% ConfInt 8430621.0959568959.496
 R   4		 G 118		 BestInG    8182.192		 AvgOfG 9009616.744		 StDv 9009186.591		 95% ConfInt 8439825.7559579407.734
 R   4		 G 119		 BestInG    8182.192		 AvgOfG 9019443.194		 StDv 9019017.945		 95% ConfInt 8449030.4149589855.973
 R   4		 G 120		 BestInG    8182.192		 AvgOfG 9029269.643		 StDv 9028849.298		 95% ConfInt 8458235.0749600304.211
 R   4		 G 121		 BestInG    8182.192		 AvgOfG 9039096.092		 StDv 9038680.652		 95% ConfInt 8467439.734 9610752.45
 R   4		 G 122		 BestInG    8182.192		 AvgOfG 9048922.541		 StDv 9048512.006		 95% ConfInt 8476644.3939621200.688
 R   4		 G 123		 BestInG    8182.192		 AvgOfG  9058748.99		 StDv  9058343.36		 95% ConfInt 8485849.0539631648.927
 R   4		 G 124		 BestInG    8182.192		 AvgOfG 9068575.439		 StDv 9068174.714		 95% ConfInt 8495053.7139642097.165
 R   4		 G 125		 BestInG    8182.192		 AvgOfG 9078401.888		 StDv 9078006.068		 95% ConfInt 8504258.3729652545.404
 R   4		 G 126		 BestInG    8182.192		 AvgOfG 9088228.337		 StDv 9087837.422		 95% ConfInt 8513463.0329662993.642
 R   4		 G 127		 BestInG    8182.192		 AvgOfG 9098054.786		 StDv 9097668.777		 95% ConfInt 8522667.6929673441.881
 R   4		 G 128		 BestInG    8182.192		 AvgOfG 9107881.235		 StDv 9107500.131		 95% ConfInt 8531872.3519683890.119
 R   4		 G 129		 BestInG    8182.192		 AvgOfG 9117707.684		 StDv 9117331.485		 95% ConfInt 8541077.0119694338.358
 R   4		 G 130		 BestInG    8182.192		 AvgOfG 9127534.133		 StDv 9127162.839		 95% ConfInt  8550281.679704786.596
 R   4		 G 131		 BestInG    8182.192		 AvgOfG 9137360.582		 StDv 9136994.193		 95% ConfInt  8559486.339715234.835
 R   4		 G 132		 BestInG    8182.192		 AvgOfG 9147187.032		 StDv 9146825.547		 95% ConfInt  8568690.999725683.073
 R   4		 G 133		 BestInG    8182.192		 AvgOfG 9157013.481		 StDv 9156656.902		 95% ConfInt 8577895.6499736131.312
 R   4		 G 134		 BestInG    8182.192		 AvgOfG  9166839.93		 StDv 9166488.256		 95% ConfInt 8587100.309 9746579.55
 R   4		 G 135		 BestInG    8182.192		 AvgOfG 9176666.379		 StDv  9176319.61		 95% ConfInt 8596304.9699757027.789
 R   4		 G 136		 BestInG    8182.192		 AvgOfG 9186492.828		 StDv 9186150.965		 95% ConfInt 8605509.6289767476.027
 R   4		 G 137		 BestInG    8182.192		 AvgOfG 9196319.277		 StDv 9195982.319		 95% ConfInt 8614714.2889777924.266
 R   4		 G 138		 BestInG    8182.192		 AvgOfG 9206145.726		 StDv 9205813.673		 95% ConfInt 8623918.9479788372.504
 R   4		 G 139		 BestInG    8182.192		 AvgOfG 9215972.175		 StDv 9215645.028		 95% ConfInt 8633123.6079798820.743
 R   4		 G 140		 BestInG    8182.192		 AvgOfG 9225798.624		 StDv 9225476.382		 95% ConfInt 8642328.2679809268.981
 R   4		 G 141		 BestInG    8182.192		 AvgOfG 9235625.073		 StDv 9235307.737		 95% ConfInt 8651532.926 9819717.22
 R   4		 G 142		 BestInG    8182.192		 AvgOfG 9245451.522		 StDv 9245139.091		 95% ConfInt 8660737.5869830165.459
 R   4		 G 143		 BestInG    8182.192		 AvgOfG 9255277.971		 StDv 9254970.446		 95% ConfInt 8669942.2469840613.697
 R   4		 G 144		 BestInG    8182.192		 AvgOfG  9265104.42		 StDv   9264801.8		 95% ConfInt 8679146.9059851061.936
 R   4		 G 145		 BestInG    8182.192		 AvgOfG 9274930.869		 StDv 9274633.155		 95% ConfInt 8688351.5659861510.174
 R   4		 G 146		 BestInG    8182.192		 AvgOfG 9284757.319		 StDv 9284464.509		 95% ConfInt 8697556.2249871958.413
 R   4		 G 147		 BestInG    8182.192		 AvgOfG 9294583.768		 StDv 9294295.864		 95% ConfInt 8706760.8849882406.651
 R   4		 G 148		 BestInG    8182.192		 AvgOfG 9304410.217		 StDv 9304127.218		 95% ConfInt 8715965.544 9892854.89
 R   4		 G 149		 BestInG    8182.192		 AvgOfG 9314236.666		 StDv 9313958.573		 95% ConfInt 8725170.2039903303.128
 R   4		 G 150		 BestInG    8182.192		 AvgOfG 9324063.115		 StDv 9323789.928		 95% ConfInt 8734374.8639913751.367
 R   4		 G 151		 BestInG    8182.192		 AvgOfG 9333889.564		 StDv 9333621.282		 95% ConfInt 8743579.5239924199.605
 R   4		 G 152		 BestInG    8182.192		 AvgOfG 9343716.013		 StDv 9343452.637		 95% ConfInt 8752784.1829934647.844
 R   4		 G 153		 BestInG    8182.192		 AvgOfG 9353542.462		 StDv 9353283.992		 95% ConfInt 8761988.8429945096.082
 R   4		 G 154		 BestInG    8182.192		 AvgOfG 9363368.911		 StDv 9363115.347		 95% ConfInt 8771193.5019955544.321
 R   4		 G 155		 BestInG    8182.192		 AvgOfG  9373195.36		 StDv 9372946.701		 95% ConfInt 8780398.1619965992.559
 R   4		 G 156		 BestInG    8182.192		 AvgOfG 9383021.809		 StDv 9382778.056		 95% ConfInt 8789602.8219976440.798
 R   4		 G 157		 BestInG    8182.192		 AvgOfG 9392848.258		 StDv 9392609.411		 95% ConfInt  8798807.489986889.037
 R   4		 G 158		 BestInG    8182.192		 AvgOfG 9402674.707		 StDv 9402440.766		 95% ConfInt  8808012.149997337.275
 R   4		 G 159		 BestInG    8182.192		 AvgOfG 9412501.157		 StDv 9412272.121		 95% ConfInt 8817216.799###########
 R   4		 G 160		 BestInG    8182.192		 AvgOfG 9422327.606		 StDv 9422103.476		 95% ConfInt 8826421.459###########
 R   4		 G 161		 BestInG    8182.192		 AvgOfG 9432154.055		 StDv 9431934.831		 95% ConfInt 8835626.119###########
 R   4		 G 162		 BestInG    8182.192		 AvgOfG 9441980.504		 StDv 9441766.185		 95% ConfInt 8844830.778###########
 R   4		 G 163		 BestInG    8182.192		 AvgOfG 9451806.953		 StDv  9451597.54		 95% ConfInt 8854035.438###########
 R   4		 G 164		 BestInG    8182.192		 AvgOfG 9461633.402		 StDv 9461428.895		 95% ConfInt 8863240.097###########
 R   4		 G 165		 BestInG    8182.192		 AvgOfG 9471459.851		 StDv  9471260.25		 95% ConfInt 8872444.757###########
 R   4		 G 166		 BestInG    8182.192		 AvgOfG   9481286.3		 StDv 9481091.605		 95% ConfInt 8881649.416###########
 R   4		 G 167		 BestInG    8182.192		 AvgOfG 9491112.749		 StDv 9490922.961		 95% ConfInt 8890854.076###########
 R   4		 G 168		 BestInG    8182.192		 AvgOfG 9500939.198		 StDv 9500754.316		 95% ConfInt 8900058.736###########
 R   4		 G 169		 BestInG    8182.192		 AvgOfG 9510765.647		 StDv 9510585.671		 95% ConfInt 8909263.395###########
 R   4		 G 170		 BestInG    8182.192		 AvgOfG 9520592.096		 StDv 9520417.026		 95% ConfInt 8918468.055###########
 R   4		 G 171		 BestInG    8182.192		 AvgOfG 9530418.545		 StDv 9530248.381		 95% ConfInt 8927672.714###########
 R   4		 G 172		 BestInG    8182.192		 AvgOfG 9540244.994		 StDv 9540079.736		 95% ConfInt 8936877.374###########
 R   4		 G 173		 BestInG    8182.192		 AvgOfG 9550071.444		 StDv 9549911.091		 95% ConfInt 8946082.034###########
 R   4		 G 174		 BestInG    8182.192		 AvgOfG 9559897.893		 StDv 9559742.447		 95% ConfInt 8955286.693###########
 R   4		 G 175		 BestInG    8182.192		 AvgOfG 9569724.342		 StDv 9569573.802		 95% ConfInt 8964491.353###########
 R   4		 G 176		 BestInG    8182.192		 AvgOfG 9579550.791		 StDv 9579405.157		 95% ConfInt 8973696.012###########
 R   4		 G 177		 BestInG    8182.192		 AvgOfG  9589377.24		 StDv 9589236.512		 95% ConfInt 8982900.672###########
 R   4		 G 178		 BestInG    8182.192		 AvgOfG 9599203.689		 StDv 9599067.868		 95% ConfInt 8992105.331###########
 R   4		 G 179		 BestInG    8182.192		 AvgOfG 9609030.138		 StDv 9608899.223		 95% ConfInt 9001309.991###########
 R   4		 G 180		 BestInG    8182.192		 AvgOfG 9618856.587		 StDv 9618730.578		 95% ConfInt 9010514.651###########
 R   4		 G 181		 BestInG    8182.192		 AvgOfG 9628683.036		 StDv 9628561.934		 95% ConfInt  9019719.31###########
 R   4		 G 182		 BestInG    8182.192		 AvgOfG 9638509.485		 StDv 9638393.289		 95% ConfInt  9028923.97###########
 R   4		 G 183		 BestInG    8182.192		 AvgOfG 9648335.934		 StDv 9648224.645		 95% ConfInt 9038128.629###########
 R   4		 G 184		 BestInG    8182.192		 AvgOfG 9658162.383		 StDv   9658056.0		 95% ConfInt 9047333.289###########
 R   4		 G 185		 BestInG    8182.192		 AvgOfG 9667988.832		 StDv 9667887.355		 95% ConfInt 9056537.948###########
 R   4		 G 186		 BestInG    8182.192		 AvgOfG 9677815.281		 StDv 9677718.711		 95% ConfInt 9065742.608###########
 R   4		 G 187		 BestInG    8182.192		 AvgOfG 9687641.731		 StDv 9687550.066		 95% ConfInt 9074947.267###########
 R   4		 G 188		 BestInG    8182.192		 AvgOfG  9697468.18		 StDv 9697381.422		 95% ConfInt 9084151.927###########
 R   4		 G 189		 BestInG    8182.192		 AvgOfG 9707294.629		 StDv 9707212.777		 95% ConfInt 9093356.587###########
 R   4		 G 190		 BestInG    8182.192		 AvgOfG 9717121.078		 StDv 9717044.133		 95% ConfInt 9102561.246###########
 R   4		 G 191		 BestInG    8182.192		 AvgOfG 9726947.527		 StDv 9726875.489		 95% ConfInt 9111765.906###########
 R   4		 G 192		 BestInG    8182.192		 AvgOfG 9736773.976		 StDv 9736706.844		 95% ConfInt 9120970.565###########
 R   4		 G 193		 BestInG    8182.192		 AvgOfG 9746600.425		 StDv   9746538.2		 95% ConfInt 9130175.225###########
 R   4		 G 194		 BestInG    8182.192		 AvgOfG 9756426.874		 StDv 9756369.556		 95% ConfInt 9139379.884###########
 R   4		 G 195		 BestInG    8182.192		 AvgOfG 9766253.323		 StDv 9766200.911		 95% ConfInt 9148584.544###########
 R   4		 G 196		 BestInG    8182.192		 AvgOfG 9776079.772		 StDv 9776032.267		 95% ConfInt 9157789.203###########
 R   4		 G 197		 BestInG    8182.192		 AvgOfG 9785906.221		 StDv 9785863.623		 95% ConfInt 9166993.863###########
 R   4		 G 198		 BestInG    8182.192		 AvgOfG  9795732.67		 StDv 9795694.978		 95% ConfInt 9176198.522###########
 R   4		 G 199		 BestInG    8182.192		 AvgOfG 9805559.119		 StDv 9805526.334		 95% ConfInt 9185403.182###########
########
####
########
####
Gen            AvgOfAvgFit            AvgOfBestFit            StDvAvg            StDvAvgBst           95%ConfIntBst
0              3928372.92          8124.61             2773218.4           54.86               8075.54             8173.68             
1              3938178.48          8124.61             2773231.3           54.86               8075.54             8173.68             
2              3947984.04          8124.61             2773244.21          54.86               8075.54             8173.68             
3              3957789.6           8124.61             2773257.11          54.86               8075.54             8173.68             
4              3967595.16          8124.61             2773270.02          54.86               8075.54             8173.68             
5              3977400.72          8124.61             2773282.92          54.86               8075.54             8173.68             
6              3987206.27          8124.61             2773295.83          54.86               8075.54             8173.68             
7              3997011.83          8124.61             2773308.73          54.86               8075.54             8173.68             
8              4006817.39          8124.61             2773321.64          54.86               8075.54             8173.68             
9              4016622.95          8124.61             2773334.55          54.86               8075.54             8173.68             
10             4026428.51          8124.61             2773347.45          54.86               8075.54             8173.68             
11             4036234.07          8124.61             2773360.36          54.86               8075.54             8173.68             
12             4046039.63          8124.61             2773373.26          54.86               8075.54             8173.68             
13             4055845.19          8124.61             2773386.17          54.86               8075.54             8173.68             
14             4065650.75          8124.61             2773399.08          54.86               8075.54             8173.68             
15             4075456.31          8124.61             2773411.99          54.86               8075.54             8173.68             
16             4085261.87          8124.61             2773424.89          54.86               8075.54             8173.68             
17             4095067.42          8124.61             2773437.8           54.86               8075.54             8173.68             
18             4104872.98          8124.61             2773450.71          54.86               8075.54             8173.68             
19             4114678.54          8124.61             2773463.62          54.86               8075.54             8173.68             
20             4124484.1           8124.61             2773476.52          54.86               8075.54             8173.68             
21             4134289.66          8124.61             2773489.43          54.86               8075.54             8173.68             
22             4144095.22          8124.61             2773502.34          54.86               8075.54             8173.68             
23             4153900.78          8124.61             2773515.25          54.86               8075.54             8173.68             
24             4163706.34          8124.61             2773528.16          54.86               8075.54             8173.68             
25             4173511.9           8124.61             2773541.07          54.86               8075.54             8173.68             
26             4183317.46          8124.61             2773553.98          54.86               8075.54             8173.68             
27             4193123.02          8124.61             2773566.88          54.86               8075.54             8173.68             
28             4202928.58          8124.61             2773579.79          54.86               8075.54             8173.68             
