Experiment ID                :  tsp
Problem Type                 :  TSPMatrix
Data Input File Name         :  berlin52.tsp
Number of Runs               :  5
Generations per Run          :  200
Population Size              :  1000
Selection Method             :  1
Fitness Scaling Type         :  0
Min or Max Fitness           :  min
Crossover Type               :  3
Crossover Rate               :  1.0
Mutation Type                :  1
Mutation Rate                :  0.01
Random Number Seed           :  75982
Number of Genes/Points       :  52
Size of Genes                :  100



 R   0		 G   0		 BestInG    8060.314		 AvgOfG    9761.668		 StDv     792.429		 95% ConfInt    9711.551   9811.786
 R   0		 G 132		 BestInG    8060.314		 AvgOfG 1298301.879		 StDv 1294026.757		 95% ConfInt 1216460.4411380143.317
 R   0		 G 133		 BestInG    8060.314		 AvgOfG 1308063.547		 StDv  1303793.38		 95% ConfInt 1225604.4141390522.681
 R   0		 G 134		 BestInG    8060.314		 AvgOfG 1317825.216		 StDv 1313560.002		 95% ConfInt 1234748.3871400902.045
 R   0		 G 135		 BestInG    8060.314		 AvgOfG 1327586.884		 StDv 1323326.622		 95% ConfInt 1243892.3591411281.408
 R   0		 G 136		 BestInG    8060.314		 AvgOfG 1337348.552		 StDv 1333093.242		 95% ConfInt 1253036.3321421660.772
 R   0		 G 137		 BestInG    8060.314		 AvgOfG  1347110.22		 StDv 1342859.861		 95% ConfInt 1262180.3061432040.135
 R   0		 G 138		 BestInG    8060.314		 AvgOfG 1356871.889		 StDv 1352626.478		 95% ConfInt 1271324.2791442419.498
 R   0		 G 139		 BestInG    8060.314		 AvgOfG 1366633.557		 StDv 1362393.095		 95% ConfInt 1280468.2521452798.862
 R   0		 G 140		 BestInG    8060.314		 AvgOfG 1376395.225		 StDv 1372159.711		 95% ConfInt 1289612.2251463178.225
 R   0		 G 141		 BestInG    8060.314		 AvgOfG 1386156.893		 StDv 1381926.326		 95% ConfInt 1298756.1981473557.588
 R   0		 G 142		 BestInG    8060.314		 AvgOfG 1395918.562		 StDv  1391692.94		 95% ConfInt 1307900.1721483936.952
 R   0		 G 143		 BestInG    8060.314		 AvgOfG  1405680.23		 StDv 1401459.554		 95% ConfInt 1317044.1451494316.315
 R   0		 G 144		 BestInG    8060.314		 AvgOfG 1415441.898		 StDv 1411226.166		 95% ConfInt 1326188.1191504695.678
 R   0		 G 145		 BestInG    8060.314		 AvgOfG 1425203.566		 StDv 1420992.778		 95% ConfInt 1335332.0921515075.041
 R   0		 G 146		 BestInG    8060.314		 AvgOfG 1434965.235		 StDv 1430759.388		 95% ConfInt 1344476.0661525454.404
 R   0		 G 147		 BestInG    8060.314		 AvgOfG 1444726.903		 StDv 1440525.998		 95% ConfInt 1353620.0391535833.767
 R   0		 G 148		 BestInG    8060.314		 AvgOfG 1454488.571		 StDv 1450292.608		 95% ConfInt 1362764.0131546213.129
